,secu_abbr,chi_name,listed_state,secu_code,secu_market,listed_sector,hs_code
766,飞乐音响,上海飞乐音响股份有限公司,上市,600651,上海证券交易所,主板,600651.SH
767,申华控股,辽宁申华控股股份有限公司,上市,600653,上海证券交易所,主板,600653.SH
768,*ST中安,中安科股份有限公司,上市,600654,上海证券交易所,主板,600654.SH
769,豫园股份,上海豫园旅游商城(集团)股份有限公司,上市,600655,上海证券交易所,主板,600655.SH
770,信达地产,信达地产股份有限公司,上市,600657,上海证券交易所,主板,600657.SH
771,电子城,北京电子城高科技集团股份有限公司,上市,600658,上海证券交易所,主板,600658.SH
772,福耀玻璃,福耀玻璃工业集团股份有限公司,上市,600660,上海证券交易所,主板,600660.SH
773,昂立教育,上海新南洋昂立教育科技股份有限公司,上市,600661,上海证券交易所,主板,600661.SH
774,外服控股,上海外服控股集团股份有限公司,上市,600662,上海证券交易所,主板,600662.SH
775,陆家嘴,上海陆家嘴金融贸易区开发股份有限公司,上市,600663,上海证券交易所,主板,600663.SH
776,哈药股份,哈药集团股份有限公司,上市,600664,上海证券交易所,主板,600664.SH
777,天地源,天地源股份有限公司,上市,600665,上海证券交易所,主板,600665.SH
778,*ST瑞德,奥瑞德光电股份有限公司,上市,600666,上海证券交易所,主板,600666.SH
779,太极实业,无锡市太极实业股份有限公司,上市,600667,上海证券交易所,主板,600667.SH
780,尖峰集团,浙江尖峰集团股份有限公司,上市,600668,上海证券交易所,主板,600668.SH
781,*ST目药,杭州天目山药业股份有限公司,上市,600671,上海证券交易所,主板,600671.SH
782,南钢股份,南京钢铁股份有限公司,上市,600282,上海证券交易所,主板,600282.SH
783,钱江水利,钱江水利开发股份有限公司,上市,600283,上海证券交易所,主板,600283.SH
784,浦东建设,上海浦东建设股份有限公司,上市,600284,上海证券交易所,主板,600284.SH
785,羚锐制药,河南羚锐制药股份有限公司,上市,600285,上海证券交易所,主板,600285.SH
786,江苏舜天,江苏舜天股份有限公司,上市,600287,上海证券交易所,主板,600287.SH
787,大恒科技,大恒新纪元科技股份有限公司,上市,600288,上海证券交易所,主板,600288.SH
788,ST信通,亿阳信通股份有限公司,上市,600289,上海证券交易所,主板,600289.SH
789,*ST华仪,华仪电气股份有限公司,上市,600290,上海证券交易所,主板,600290.SH
790,远达环保,国家电投集团远达环保股份有限公司,上市,600292,上海证券交易所,主板,600292.SH
791,三峡新材,湖北三峡新型建材股份有限公司,上市,600293,上海证券交易所,主板,600293.SH
792,鄂尔多斯,内蒙古鄂尔多斯资源股份有限公司,上市,600295,上海证券交易所,主板,600295.SH
793,广汇汽车,广汇汽车服务集团股份公司,上市,600297,上海证券交易所,主板,600297.SH
794,安琪酵母,安琪酵母股份有限公司,上市,600298,上海证券交易所,主板,600298.SH
795,安迪苏,蓝星安迪苏股份有限公司,上市,600299,上海证券交易所,主板,600299.SH
796,维维股份,维维食品饮料股份有限公司,上市,600300,上海证券交易所,主板,600300.SH
797,南化股份,南宁化工股份有限公司,上市,600301,上海证券交易所,主板,600301.SH
798,标准股份,西安标准工业股份有限公司,上市,600302,上海证券交易所,主板,600302.SH
799,ST曙光,辽宁曙光汽车集团股份有限公司,上市,600303,上海证券交易所,主板,600303.SH
800,恒顺醋业,江苏恒顺醋业股份有限公司,上市,600305,上海证券交易所,主板,600305.SH
801,*ST商城,沈阳商业城股份有限公司,上市,600306,上海证券交易所,主板,600306.SH
802,酒钢宏兴,甘肃酒钢集团宏兴钢铁股份有限公司,上市,600307,上海证券交易所,主板,600307.SH
803,华泰股份,山东华泰纸业股份有限公司,上市,600308,上海证券交易所,主板,600308.SH
804,万华化学,万华化学集团股份有限公司,上市,600309,上海证券交易所,主板,600309.SH
805,桂东电力,广西桂东电力股份有限公司,上市,600310,上海证券交易所,主板,600310.SH
806,平高电气,河南平高电气股份有限公司,上市,600312,上海证券交易所,主板,600312.SH
807,农发种业,中农发种业集团股份有限公司,上市,600313,上海证券交易所,主板,600313.SH
808,上海家化,上海家化联合股份有限公司,上市,600315,上海证券交易所,主板,600315.SH
809,洪都航空,江西洪都航空工业股份有限公司,上市,600316,上海证券交易所,主板,600316.SH
810,新力金融,安徽新力金融股份有限公司,上市,600318,上海证券交易所,主板,600318.SH
811,亚星化学,潍坊亚星化学股份有限公司,上市,600319,上海证券交易所,主板,600319.SH
812,振华重工,上海振华重工(集团)股份有限公司,上市,600320,上海证券交易所,主板,600320.SH
813,正源股份,正源控股股份有限公司,上市,600321,上海证券交易所,主板,600321.SH
814,天房发展,天津市房地产发展(集团)股份有限公司,上市,600322,上海证券交易所,主板,600322.SH
815,瀚蓝环境,瀚蓝环境股份有限公司,上市,600323,上海证券交易所,主板,600323.SH
816,华发股份,珠海华发实业股份有限公司,上市,600325,上海证券交易所,主板,600325.SH
817,西藏天路,西藏天路股份有限公司,上市,600326,上海证券交易所,主板,600326.SH
818,大东方,无锡商业大厦大东方股份有限公司,上市,600327,上海证券交易所,主板,600327.SH
819,中盐化工,中盐内蒙古化工股份有限公司,上市,600328,上海证券交易所,主板,600328.SH
820,达仁堂,津药达仁堂集团股份有限公司,上市,600329,上海证券交易所,主板,600329.SH
821,天通股份,天通控股股份有限公司,上市,600330,上海证券交易所,主板,600330.SH
